master_item_id,itemname,material,radius,quantity,latitude,longitude,location,timestamp,Year,Month,Day,Datetime
44.0,Toys,PLASTIC,8.0,1.0,31.045019030571,-81.4099949598312,,20120526223741,2012,05,26,2012-05-26
12.0,Plastic or Foam Fragments,PLASTIC,6.0,1.0,31.0521429777145,-81.4089757204056,,20120528192836,2012,05,28,2012-05-28
12.0,Plastic or Foam Fragments,PLASTIC,6.0,1.0,31.0521429777145,-81.4089757204056,,20120528192835,2012,05,28,2012-05-28
3.0,Plastic Bottle,PLASTIC,8.0,1.0,31.0520946979523,-81.4090347290039,,20120528192834,2012,05,28,2012-05-28
29.0,Paper Food Wrappers,PAPER & LUMBER,8.0,1.0,31.045737862587,-81.4099037647247,,20120526223743,2012,05,26,2012-05-26
17.0,Aluminum or Tin Cans,METAL,6.0,4.0,41.2576590833333,-95.9273675666667,,20121216164946,2012,12,16,2012-12-16
3.0,Plastic Bottle,PLASTIC,16.0,3.0,31.2535125017166,-81.545387506485,,20120526224027,2012,05,26,2012-05-26
44.0,Toys,PLASTIC,12.0,1.0,31.2535071372986,-81.5453714132309,,20120526224028,2012,05,26,2012-05-26
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175535,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175603,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175604,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175605,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175528,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175606,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175607,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175608,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175608,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175610,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175612,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175612,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175613,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175614,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175615,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175602,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175601,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175600,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175559,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175537,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175537,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175539,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175541,2013,05,19,2013-05-19
12.0,Plastic or Foam Fragments,PLASTIC,1583.0,1.0,31.1482353210449,-81.3745956420898,,20130519175542,2013,05,19,2013-05-19
